Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01,126.44000244140625,126.52999877929688,125.43000030517578,126.19999694824219,123.9399642944336,1585105
2024-07-02,125.80000305175781,126.19999694824219,125.4000015258789,125.66000366210938,123.4096450805664,1457744
2024-07-03,126.2300033569336,126.44000244140625,124.80000305175781,125.37999725341797,123.13465118408203,1441307
2024-07-04,126.51000213623047,127.86000061035156,126.19000244140625,127.86000061035156,125.57024383544922,1394064
2024-07-05,127.58000183105469,127.8499984741211,126.6500015258789,127.0999984741211,124.8238525390625,1084617
2024-07-08,126.9000015258789,127.16999816894531,126.08999633789062,126.47000122070312,124.20513153076172,1027669
2024-07-09,127.5,128.97000122070312,126.9800033569336,128.69000244140625,126.3853759765625,1781761
2024-07-10,128.0,128.5399932861328,127.26000213623047,128.5399932861328,126.23805236816406,1246766
2024-07-11,130.1699981689453,130.3000030517578,129.3000030517578,129.9199981689453,127.59334564208984,1598054
2024-07-12,130.8000030517578,131.83999633789062,129.88999938964844,131.66000366210938,129.30218505859375,1965561
2024-07-15,132.75,133.3000030517578,131.89999389648438,132.69000244140625,130.31375122070312,1364623
2024-07-16,132.42999267578125,133.0800018310547,132.02000427246094,132.44000244140625,130.06822204589844,1732649
2024-07-17,132.5,134.25,132.0,133.5,131.10923767089844,1919380
2024-07-18,133.24000549316406,134.0,131.91000366210938,132.66000366210938,130.28428649902344,2061262
2024-07-19,130.86000061035156,131.6300048828125,130.39999389648438,131.6300048828125,129.27273559570312,4022762
2024-07-22,130.50999450683594,131.67999267578125,130.17999267578125,131.67999267578125,129.3218231201172,1192662
2024-07-23,132.58999633789062,133.30999755859375,132.10000610351562,133.13999938964844,130.75567626953125,1351942
2024-07-24,132.60000610351562,133.10000610351562,132.27000427246094,132.77999877929688,130.40213012695312,1130255
2024-07-25,131.35000610351562,132.60000610351562,131.1999969482422,132.60000610351562,130.22535705566406,1796200
2024-07-26,133.36000061035156,133.4600067138672,132.52999877929688,133.13999938964844,130.75567626953125,1901929
2024-07-29,133.8300018310547,134.89999389648438,133.8000030517578,134.89999389648438,132.48416137695312,1391737
2024-07-30,133.50999450683594,135.9499969482422,133.2899932861328,135.9499969482422,133.51536560058594,1937077
2024-07-31,136.33999633789062,137.52999877929688,135.60000610351562,137.49000549316406,135.0277862548828,2235562
